17:26:17 INFO  manager.ApplicationManager -%PARSER_ERROR[kvp]- Testts starts on Chrome Driver
17:26:21 INFO  tests.TestBase -%PARSER_ERROR[kvp]- Start test ---->serchTest
17:26:21 INFO  manager.MyListener -%PARSER_ERROR[kvp]- Start search element by locator --->By.id: city
17:26:22 INFO  manager.MyListener -%PARSER_ERROR[kvp]- The element with locator --->By.id: citywas found
17:26:23 INFO  manager.MyListener -%PARSER_ERROR[kvp]- Start search element by locator --->By.cssSelector: div.pac-item
17:26:23 INFO  manager.MyListener -%PARSER_ERROR[kvp]- The element with locator --->By.cssSelector: div.pac-itemwas found
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- Start search element by locator --->By.id: dates
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- The element with locator --->By.id: dateswas found
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- Start search element by locator --->By.xpath: //div[.=' 30 ']
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- The element with locator --->By.xpath: //div[.=' 30 ']was found
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- Start search element by locator --->By.xpath: //div[.=' 31 ']
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- The element with locator --->By.xpath: //div[.=' 31 ']was found
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- Start search element by locator --->By.xpath: //button[contains(text(),'alla!')]
17:26:24 INFO  manager.MyListener -%PARSER_ERROR[kvp]- The element with locator --->By.xpath: //button[contains(text(),'alla!')]was found
17:26:25 INFO  tests.TestBase -%PARSER_ERROR[kvp]- *******************************************************serchTest
